Breed,Size,Coat Length,Energy Level,Ease of Training,Temperament,Apartment Friendly,Needs Yard,Good with Children,Specialty,Primary Adjective,Adjective1,Adjective2,Adjective3
Labrador Retriever,Large,Short,High,Easy,Friendly,Moderate,Preferred,Yes,Hunting,Lively,Loyal,Playful,Energetic
Golden Retriever,Large,Medium,High,Easy,Friendly,Moderate,Preferred,Yes,Hunting,Affectionate,Reliable,Intelligent,Loving
German Shepherd,Large,Medium,High,Moderate,Protective,No,Required,Yes,Guarding,Brave,Loyal,Brave,Smart
French Bulldog,Small,Short,Low,Moderate,Easygoing,Yes,Not Needed,Yes,Lap Dog,"Lively, Affectionate",Playful,Calm,Affectionate
Chihuahua,Small,Short,Moderate,Moderate,Alert,Yes,Not Needed,No,Lap Dog,Brave,Loyal,Bold,Feisty
Goldendoodle,Large,Medium,High,Easy,Friendly,Moderate,Preferred,Yes,Companion,"Calm, Friendly",Social,Smart,Gentle
Border Collie,Medium,Medium,High,Easy,Intense,No,Required,Yes,Herding,Lively,Focused,Intelligent,Agile
Australian Shepherd,Medium,Medium,High,Easy,Loyal,No,Required,Yes,Herding,Lively,Energetic,Intelligent,Dedicated
Boxer,Large,Short,High,Moderate,Playful,Moderate,Preferred,Yes,Guarding,Lively,Loyal,Bouncy,Strong
Great Dane,Large,Short,Moderate,Moderate,Gentle,Yes,Preferred,Yes,Guarding,"Calm, Elegant",Friendly,Calm,Majestic
Pit Bull Terrier,Medium,Short,High,Moderate,Affectionate,Moderate,Preferred,Yes,Guarding,Lively,Loyal,Energetic,Strong
Bernese Mountain Dog,Large,Long,Moderate,Easy,Sweet,No,Required,Yes,Draft,"Calm, Affectionate",Gentle,Loving,Hardy
Siberian Husky,Medium,Long,High,Moderate,Friendly,No,Required,Yes,Sledding,"Lively, Brave",Energetic,Vocal,Adventurous
American Staffordshire Terrier,Medium,Short,High,Moderate,Devoted,Moderate,Preferred,No,Guarding,Brave,Loyal,Strong,Brave
Australian Cattle Dog,Medium,Short,High,Moderate,Alert,No,Required,No,Guarding,Lively,Agile,Tough,Smart
American Bulldog,Large,Short,High,Moderate,Protective,No,Required,Yes,Guarding,"Brave, Affectionate",Muscular,Brave,Affectionate
Great Pyrenees,Large,Long,Moderate,Difficult,Calm,No,Required,Yes,Guarding,"Calm, Elegant",Patient,Independent,Majestic
